+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                          ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_dtrace|soc_system_smoker_with_tobacco_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_dtrace                                                                            ; 112   ; 0              ; 101          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_itrace                                                                            ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_dbrk                                                                              ; 97    ; 0              ; 0            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_xbrk                                                                              ; 63    ; 5              ; 60           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_break                                                                             ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci|the_soc_system_smoker_with_tobacco_cpu_nios2_oci_debug                                                                             ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_nios2_oci                                                                                                                                    ; 174   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|soc_system_smoker_with_tobacco_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|soc_system_smoker_with_tobacco_cpu_register_bank_b                                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|soc_system_smoker_with_tobacco_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|soc_system_smoker_with_tobacco_cpu_register_bank_a                                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu|the_soc_system_smoker_with_tobacco_cpu_test_bench                                                                                                                                   ; 315   ; 3              ; 281          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco|cpu                                                                                                                                                                                     ; 149   ; 1              ; 30           ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_tobacco                                                                                                                                                                                         ; 149   ; 1              ; 0            ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_debug_slave_wrapper|the_soc_system_smoker_with_paper_cpu_debug_slave_sysclk                       ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_debug_slave_wrapper|the_soc_system_smoker_with_paper_cpu_debug_slave_tck                          ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_debug_slave_wrapper                                                                               ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_ocimem|soc_system_smoker_with_paper_cpu_ociram_sp_ram|the_altsyncram|auto_generated         ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_ocimem|soc_system_smoker_with_paper_cpu_ociram_sp_ram                                       ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_ocimem                                                                                      ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_avalon_reg                                                                                  ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_im                                                                                      ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_pib                                                                                     ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_fifo|the_soc_system_smoker_with_paper_cpu_nios2_oci_fifo_cnt_inc                        ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_fifo|the_soc_system_smoker_with_paper_cpu_nios2_oci_fifo_wrptr_inc                      ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_fifo|the_soc_system_smoker_with_paper_cpu_nios2_oci_compute_input_tm_cnt                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_fifo                                                                                    ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_dtrace|soc_system_smoker_with_paper_cpu_nios2_oci_trc_ctrl_td_mode                      ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_dtrace                                                                                  ; 112   ; 0              ; 101          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_itrace                                                                                  ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_dbrk                                                                                    ; 97    ; 0              ; 0            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_xbrk                                                                                    ; 63    ; 5              ; 60           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_break                                                                                   ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci|the_soc_system_smoker_with_paper_cpu_nios2_oci_debug                                                                                   ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_nios2_oci                                                                                                                                        ; 174   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|soc_system_smoker_with_paper_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|soc_system_smoker_with_paper_cpu_register_bank_b                                                                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|soc_system_smoker_with_paper_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|soc_system_smoker_with_paper_cpu_register_bank_a                                                                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu|the_soc_system_smoker_with_paper_cpu_test_bench                                                                                                                                       ; 315   ; 3              ; 281          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper|cpu                                                                                                                                                                                       ; 149   ; 1              ; 30           ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_paper                                                                                                                                                                                           ; 149   ; 1              ; 0            ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_debug_slave_wrapper|the_soc_system_smoker_with_matches_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_debug_slave_wrapper|the_soc_system_smoker_with_matches_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_debug_slave_wrapper                                                                         ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_ocimem|soc_system_smoker_with_matches_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_ocimem|soc_system_smoker_with_matches_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_ocimem                                                                                ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_avalon_reg                                                                            ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_im                                                                                ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_pib                                                                               ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_fifo|the_soc_system_smoker_with_matches_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_fifo|the_soc_system_smoker_with_matches_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_fifo|the_soc_system_smoker_with_matches_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_fifo                                                                              ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_dtrace|soc_system_smoker_with_matches_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_dtrace                                                                            ; 112   ; 0              ; 101          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_itrace                                                                            ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_dbrk                                                                              ; 97    ; 0              ; 0            ; 0              ; 101    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_xbrk                                                                              ; 63    ; 5              ; 60           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_break                                                                             ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci|the_soc_system_smoker_with_matches_cpu_nios2_oci_debug                                                                             ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_nios2_oci                                                                                                                                    ; 174   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|soc_system_smoker_with_matches_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|soc_system_smoker_with_matches_cpu_register_bank_b                                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|soc_system_smoker_with_matches_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|soc_system_smoker_with_matches_cpu_register_bank_a                                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu|the_soc_system_smoker_with_matches_cpu_test_bench                                                                                                                                   ; 315   ; 3              ; 281          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches|cpu                                                                                                                                                                                     ; 149   ; 1              ; 30           ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|smoker_with_matches                                                                                                                                                                                         ; 149   ; 1              ; 0            ; 1              ; 129    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sdram_controller_0|the_soc_system_sdram_controller_0_input_efifo_module                                                                                                                                     ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|sdram_controller_0                                                                                                                                                                                          ; 48    ; 1              ; 1            ; 1              ; 40     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; u0|pll_0                                                                                                                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|paper_mutex                                                                                                                                                                                                 ; 38    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|matches_mutex                                                                                                                                                                                               ; 38    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                                                                                                 ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_r                                                                                                                                                             ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                                                                          ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                                                                                 ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                                                                        ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0|the_soc_system_jtag_uart_0_scfifo_w                                                                                                                                                             ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|jtag_uart_0                                                                                                                                                                                                 ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hps_0|hps_io|border|hps_sdram_inst|dll                                                                                                                                                                      ; 2     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hps_0|hps_io|border|hps_sdram_inst|oct                                                                                                                                                                      ; 1     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hps_0|hps_io|border|hps_sdram_inst|c0                                                                                                                                                                       ; 228   ; 173            ; 8            ; 173            ; 280    ; 173             ; 173           ; 173             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hps_0|hps_io|border|hps_sdram_inst|seq                                                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|hps_0|hps_io|border|hps_sdram_inst|p0|umemphy|uio_pads|dq_ddio[3].ubidir_dq_dqs|altdq_dqs2_inst                                                                                                             ; 135   ; 1              ; 3            ; 1              ; 36     ; 1               ; 1             ; 1               ; 10    ; 0              ; 0            ; 0                ; 0                 ;
